recall_id,study_id,period,survey_type,location_id,location_type,site_id,household_id,HPD,HDI,REM,FCI,education,num_participants,num_ame,days,mdays,consumption,frequency,quantity
876,6,1,3,7,2,7,2394,23.934,0.598,575.910379,8236.212966,2,8,6,1,9,0,0.111111111,0
877,6,1,3,3,3,3,2429,26.973,0.63,823.0665874,7713.441681,3,7,5,1,9,0,0.222222222,0
878,6,1,3,3,3,3,2448,26.973,0.63,823.0665874,7713.441681,3,3,2,1,9,0,0,0
879,6,1,3,4,2,4,2467,2.256,0.556,1318.886093,9438.887866,5,19,14,1,9,0,0,0
880,6,1,3,2,2,2,2481,2.226,0.63,1217.544265,8834.653023,5,2,2,1,9,0,0.333333333,0
881,6,1,3,6,2,6,2486,8.322,0.603,488.3880137,7222.608627,2,5,4,1,9,0,0,0
882,6,1,3,9,2,9,2497,2.841,0.568,936.1159763,3791.490837,5,7,5,1,9,0,0,0
883,6,1,3,7,2,7,2514,23.934,0.598,575.910379,8236.212966,5,6,5,1,9,0,0,0
884,6,1,3,6,2,6,2530,8.322,0.603,488.3880137,7222.608627,5,7,6,1,9,0,0,0
885,6,1,3,2,2,2,2538,2.226,0.63,1217.544265,8834.653023,5,5,4,1,8,0,0,0
886,6,1,3,9,2,9,2551,2.841,0.568,936.1159763,3791.490837,2,9,6,1,9,0,0.222222222,0
887,6,1,3,9,2,9,2554,2.841,0.568,936.1159763,3791.490837,5,2,2,1,9,0,0,0
888,6,1,3,3,3,3,2577,26.973,0.63,823.0665874,7713.441681,6,3,2,1,9,0,0,0
889,6,1,3,3,3,3,2585,26.973,0.63,823.0665874,7713.441681,6,10,7,1,9,0,0.111111111,0
890,6,1,3,9,2,9,2591,2.841,0.568,936.1159763,3791.490837,5,4,4,1,9,0,0,0
891,6,1,3,1,3,1,2593,281.981,0.601,172.8959831,2347.753925,6,7,6,1,9,0,0.111111111,0
892,6,1,3,1,3,1,2597,281.981,0.601,172.8959831,2347.753925,6,8,6,1,10,0,0.2,0
893,6,1,3,1,3,1,2599,281.981,0.601,172.8959831,2347.753925,6,7,6,1,8,0,0,0
894,6,1,3,9,2,9,2601,2.841,0.568,936.1159763,3791.490837,2,8,7,1,8,0,0,0
