recall_id,study_id,period,survey_type,location_id,location_type,site_id,household_id,HPD,HDI,REM,FCI,education,num_participants,num_ame,days,mdays,consumption,frequency,quantity
683,5,1,3,2,2,2,383,2.226,0.63,1217.544265,8834.653023,5,3,3,1,9,0,0.111111111,0
684,5,1,3,3,3,3,403,26.973,0.63,823.0665874,7713.441681,3,1,1,1,9,0,0.111111111,0
685,5,1,3,9,2,9,408,2.841,0.568,936.1159763,3791.490837,2,2,2,1,9,0,0.444444444,0
686,5,1,3,9,2,9,421,2.841,0.568,936.1159763,3791.490837,2,13,9,1,9,0,0.111111111,0
687,5,1,3,3,3,3,450,26.973,0.63,823.0665874,7713.441681,3,5,4,1,9,1,0.222222222,1.438
688,5,1,3,3,3,3,453,26.973,0.63,823.0665874,7713.441681,3,2,2,1,9,0,0.333333333,0
689,5,1,3,3,3,3,472,26.973,0.63,823.0665874,7713.441681,3,3,2,1,9,0,0,0
690,5,1,3,7,2,7,487,23.934,0.598,575.910379,8236.212966,2,5,4,1,9,0,0,0
691,5,1,3,1,3,1,492,281.981,0.601,172.8959831,2347.753925,6,6,5,1,9,0,0,0
692,5,1,3,1,3,1,493,281.981,0.601,172.8959831,2347.753925,6,6,5,1,9,0,0,0
693,5,1,3,3,3,3,504,26.973,0.63,823.0665874,7713.441681,3,1,1,1,9,0,0,0
694,5,1,3,3,3,3,513,26.973,0.63,823.0665874,7713.441681,3,1,1,1,9,0,0,0
695,5,1,3,3,3,3,514,26.973,0.63,823.0665874,7713.441681,3,2,2,1,9,1,0.444444444,0.549
696,5,1,3,3,3,3,515,26.973,0.63,823.0665874,7713.441681,3,2,2,1,9,0,0.333333333,0
697,5,1,3,4,2,4,535,2.256,0.556,1318.886093,9438.887866,5,14,10,1,9,0,0,0
698,5,1,3,9,2,9,542,2.841,0.568,936.1159763,3791.490837,2,2,2,1,9,0,0,0
699,5,1,3,9,2,9,543,2.841,0.568,936.1159763,3791.490837,2,8,6,1,9,0,0.444444444,0
700,5,1,3,7,2,7,554,23.934,0.598,575.910379,8236.212966,2,7,5,1,9,0,0,0
701,5,1,3,9,2,9,555,2.841,0.568,936.1159763,3791.490837,2,5,4,1,9,0,0.111111111,0
702,5,1,3,6,2,6,565,8.322,0.603,488.3880137,7222.608627,5,2,2,1,9,1,0.111111111,1
703,5,1,3,4,2,4,569,2.256,0.556,1318.886093,9438.887866,2,6,5,1,5,0,0.2,0
704,5,1,3,7,2,7,592,23.934,0.598,575.910379,8236.212966,2,8,6,1,9,0,0.111111111,0
705,5,1,3,2,2,2,616,2.226,0.63,1217.544265,8834.653023,2,10,8,1,8,0,0.25,0
706,5,1,3,3,3,3,621,26.973,0.63,823.0665874,7713.441681,6,11,9,1,9,0,0,0
707,5,1,3,9,2,9,623,2.841,0.568,936.1159763,3791.490837,5,5,4,1,9,0,0,0
708,5,1,3,2,2,2,628,2.226,0.63,1217.544265,8834.653023,5,1,1,1,9,0,0.777777778,0
709,5,1,3,7,2,7,646,23.934,0.598,575.910379,8236.212966,2,2,2,1,9,0,0,0
710,5,1,3,9,2,9,656,2.841,0.568,936.1159763,3791.490837,2,12,10,1,9,0,0,0
711,5,1,3,1,3,1,671,281.981,0.601,172.8959831,2347.753925,6,5,4,1,9,0,0,0
712,5,1,3,7,2,7,676,23.934,0.598,575.910379,8236.212966,5,4,3,1,9,0,0,0
713,5,1,3,8,1,8,686,1.306,0.578,706.6242745,8991.144255,1,9,7,1,9,1,0.222222222,1.539
714,5,1,3,7,2,7,696,23.934,0.598,575.910379,8236.212966,5,11,8,1,9,0,0,0
715,5,1,3,7,2,7,700,23.934,0.598,575.910379,8236.212966,5,8,5,1,9,0,0,0
716,5,1,3,2,2,2,704,2.226,0.63,1217.544265,8834.653023,2,6,4,1,9,0,0.555555556,0
717,5,1,3,1,3,1,709,281.981,0.601,172.8959831,2347.753925,6,9,7,1,9,0,0,0
718,5,1,3,1,3,1,713,281.981,0.601,172.8959831,2347.753925,6,3,2,1,9,0,0,0
719,5,1,3,2,2,2,720,2.226,0.63,1217.544265,8834.653023,7,10,7,1,9,1,0.111111111,2.167
720,5,1,3,3,3,3,763,26.973,0.63,823.0665874,7713.441681,6,6,4,1,9,0,0,0
721,5,1,3,3,3,3,768,26.973,0.63,823.0665874,7713.441681,6,3,2,1,9,0,0,0
722,5,1,3,9,2,9,772,2.841,0.568,936.1159763,3791.490837,2,13,9,1,9,0,0.111111111,0
723,5,1,3,9,2,9,774,2.841,0.568,936.1159763,3791.490837,2,31,21,1,9,0,0,0
724,5,1,3,7,2,7,776,23.934,0.598,575.910379,8236.212966,5,6,4,1,9,0,0,0
725,5,1,3,2,2,2,811,2.226,0.63,1217.544265,8834.653023,2,2,2,1,8,0,0.125,0
726,5,1,3,1,3,1,822,281.981,0.601,172.8959831,2347.753925,6,16,11,1,9,0,0,0
727,5,1,3,1,3,1,825,281.981,0.601,172.8959831,2347.753925,3,5,4,1,8,0,0,0
728,5,1,3,4,2,4,835,2.256,0.556,1318.886093,9438.887866,5,9,8,1,6,1,0.666666667,-1
729,5,1,3,4,2,4,837,2.256,0.556,1318.886093,9438.887866,5,15,11,1,8,1,0.625,-1
730,5,1,3,1,3,1,849,281.981,0.601,172.8959831,2347.753925,6,14,12,1,9,0,0,0
731,5,1,3,5,2,5,854,4.65,0.556,1040.223073,9170.992099,2,8,5,1,9,0,0,0
732,5,1,3,5,2,5,858,4.65,0.556,1040.223073,9170.992099,2,8,5,1,9,0,0.222222222,0
733,5,1,3,3,3,3,868,26.973,0.63,823.0665874,7713.441681,6,7,5,1,9,0,0,0
734,5,1,3,9,2,9,885,2.841,0.568,936.1159763,3791.490837,2,1,1,1,9,0,0,0
735,5,1,3,1,3,1,894,281.981,0.601,172.8959831,2347.753925,3,7,6,1,9,0,0,0
736,5,1,3,1,3,1,898,281.981,0.601,172.8959831,2347.753925,6,7,6,1,9,0,0,0
737,5,1,3,1,3,1,899,281.981,0.601,172.8959831,2347.753925,6,3,3,1,9,0,0,0
738,5,1,3,1,3,1,919,281.981,0.601,172.8959831,2347.753925,6,9,7,1,9,0,0,0
739,5,1,3,3,3,3,936,26.973,0.63,823.0665874,7713.441681,7,24,18,1,9,0,0,0
